symbol_name,Precision,Description,ContractSize,MarginMode,security,MarginCurrency,ProfitCurrency,minVolFilter
EZJ.UK,0,Easyjet PLC (EZJ),1,1,UK Stocks,EZJ.UK,GBX,5
FCIT.UK,0,F&C Investment Trust PLC (FCIT),1,1,UK Stocks,FCIT.UK,GBX,5
FRAS.UK,0,Frasers Group PLC (FRAS),1,1,UK Stocks,FRAS.UK,GBX,5
FRES.UK,0,Fresnillo PLC (FRES),1,1,UK Stocks,FRES.UK,GBX,5
GLEN.UK,1,Glencore PLC (GLEN),1,1,UK Stocks,GLEN.UK,GBX,5
GSK.UK,0,GSK PLC (GSK),1,1,UK Stocks,GSK.UK,GBX,5
HIK.UK,0,Hikma Pharmaceuticals PLC (HIK),1,1,UK Stocks,HIK.UK,GBX,5
HLMA.UK,0,Halma PLC (HLMA),1,1,UK Stocks,HLMA.UK,GBX,5
HLN.UK,1,HALEON PLC (HLN),1,1,UK Stocks,HLN.UK,GBX,5
HWDN.UK,0,Howden Joinery Group PLC (HWDN),1,1,UK Stocks,HWDN.UK,GBX,5
IAG.UK,0,INTERNATIONAL CONSOLIDATED AIRLINES GROUP S.A. (IAG),1,1,UK Stocks,IAG.UK,GBX,5
ICG.UK,0,Intermediate Capital Group PLC (ICG),1,1,UK Stocks,ICG.UK,GBX,5
IHG.UK,0,InterContinental Hotels Group PLC (IHG),1,1,UK Stocks,IHG.UK,GBX,5
III.UK,0,3i Group PLC (III),1,1,UK Stocks,III.UK,GBX,5
IMB.UK,0,Imperial Brands PLC (IMB),1,1,UK Stocks,IMB.UK,GBX,5
IMI.UK,0,IMI PLC (IMI),1,1,UK Stocks,IMI.UK,GBX,5
INF.UK,0,Informa PLC (INF),1,1,UK Stocks,INF.UK,GBX,5
ITRK.UK,0,Intertek Group PLC (ITRK),1,1,UK Stocks,ITRK.UK,GBX,5
KGF.UK,1,Kingfisher PLC (KGF),1,1,UK Stocks,KGF.UK,GBX,5
LAND.UK,0,LAND SECURITIES GROUP PLC (LAND),1,1,UK Stocks,LAND.UK,GBX,5
LGEN.UK,1,Legal & General Group PLC (LGEN),1,1,UK Stocks,LGEN.UK,GBX,5
LLOY.UK,2,Lloyds Banking Group PLC (LLOY),1,1,UK Stocks,LLOY.UK,GBX,5
LMP.UK,0,LondonMetric Property PLC (LMP),1,1,UK Stocks,LMP.UK,GBX,5
LSEG.UK,0,London Stock Exchange Group PLC (LSEG),1,1,UK Stocks,LSEG.UK,GBX,5
MKS.UK,1,Marks & Spencer Group PLC (MKS),1,1,UK Stocks,MKS.UK,GBX,5
MNDI.UK,0,MONDI PLC (MNDI),1,1,UK Stocks,MNDI.UK,GBX,5
MNG.UK,1,M&G PLC (MNG),1,1,UK Stocks,MNG.UK,GBX,5
NWG.UK,1,NatWest Group PLC (NWG),1,1,UK Stocks,NWG.UK,GBX,5
NXT.UK,0,Next PLC (NXT),1,1,UK Stocks,NXT.UK,GBX,5
PHNX.UK,0,Phoenix Group Holdings (PHNX),1,1,UK Stocks,PHNX.UK,GBX,5
PSH.UK,0,Pershing Square Holdings Ltd (PSH),1,1,UK Stocks,PSH.UK,GBX,5
PSN.UK,0,PERSIMMON PLC (PSN),1,1,UK Stocks,PSN.UK,GBX,5
PSON.UK,0,Pearson PLC (PSON),1,1,UK Stocks,PSON.UK,GBX,5
REL.UK,0,RELX PLC (REL),1,1,UK Stocks,REL.UK,GBX,5
RIO.UK,0,Rio Tinto PLC (RIO),1,1,UK Stocks,RIO.UK,GBX,5
RKT.UK,0,Reckitt Benckiser Group PLC (RKT),1,1,UK Stocks,RKT.UK,GBX,5
RMV.UK,0,RIGHTMOVE PLC (RMV),1,1,UK Stocks,RMV.UK,GBX,5
RTO.UK,0,RENTOKIL INITIAL PLC (RTO),1,1,UK Stocks,RTO.UK,GBX,5
SBRY.UK,0,J Sainsbury PLC (SBRY),1,1,UK Stocks,SBRY.UK,GBX,5
SDR.UK,0,SCHRODERS PLC (SDR),1,1,UK Stocks,SDR.UK,GBX,5
SGE.UK,0,Sage Group PLC (SGE),1,1,UK Stocks,SGE.UK,GBX,5
SGRO.UK,0,SEGRO PLC (SGRO),1,1,UK Stocks,SGRO.UK,GBX,5
SHEL.UK,0,Shell PLC (SHEL),1,1,UK Stocks,SHEL.UK,GBX,5
SMIN.UK,0,Smiths Group PLC (SMIN),1,1,UK Stocks,SMIN.UK,GBX,5
SMT.UK,0,Scottish Mortgage Investment Trust PLC (SMT),1,1,UK Stocks,SMT.UK,GBX,5
SSE.UK,0,SSE PLC (SSE),1,1,UK Stocks,SSE.UK,GBX,5
STAN.UK,0,STANDARD CHARTERED PLC (STAN),1,1,UK Stocks,STAN.UK,GBX,5
SVT.UK,0,Severn Trent PLC (SVT),1,1,UK Stocks,SVT.UK,GBX,5
ULVR.UK,0,Unilever PLC (ULVR),1,1,UK Stocks,ULVR.UK,GBX,5
UTG.UK,0,Unite Group PLC (UTG),1,1,UK Stocks,UTG.UK,GBX,5
VTY.UK,0,Vistry Group PLC (VTY),1,1,UK Stocks,VTY.UK,GBX,5
WEIR.UK,0,WEIR Group PLC (WEIR),1,1,UK Stocks,WEIR.UK,GBX,5
WPP.UK,0,WPP PLC (WPP),1,1,UK Stocks,WPP.UK,GBX,5
WTB.UK,0,Whitbread PLC (WTB),1,1,UK Stocks,WTB.UK,GBX,5
BP.UK,1,BP plc (BP.),1,1,UK Stocks,BP.UK,GBX,5
AV.UK,1,AVIVA PLC (AV.),1,1,UK Stocks,AV.UK,GBX,5
JD.UK,1,JD Sports Fashion PLC (JD.),1,1,UK Stocks,JD.UK,GBX,5
NG.UK,0,National Grid PLC (NG.),1,1,UK Stocks,NG.UK,GBX,5
RR.UK,0,Rolls-Royce Holdings PLC (RR.),1,1,UK Stocks,RR.UK,GBX,5
SN.UK,0,SMITH & NEPHEW PLC (SN.),1,1,UK Stocks,SN.UK,GBX,5
SPX.UK,0,Spirax Group PLC (SPX),1,1,UK Stocks,SPX.UK,GBX,5
TW.UK,1,TAYLOR WIMPEY PLC (TW.),1,1,UK Stocks,TW.UK,GBX,5
UU.UK,0,United Utilities Group PLC (UU.),1,1,UK Stocks,UU.UK,GBX,5
941.HK,2,China Mobile Limited HK (941),500,1,HK Stocks,941.HK,HKD,5
1810.HK,2,Xiaomi Corporation HK (1810),200,1,HK Stocks,1810.HK,HKD,5
XLC,2,The Communication Services Select Sector SPDR® ETF Fund (XLC),1,1,US Stocks & ETFs,XLC,USD,100
XLY,2,The Consumer Discretionary Select Sector SPDR® Fund (XLY),1,1,US Stocks & ETFs,XLY,USD,100
XLV,2,The Health Care Select Sector SPDR® Fund (XLV),1,1,US Stocks & ETFs,XLV,USD,100
XLB,2,The Materials Select Sector SPDR® Fund (XLB),1,1,US Stocks & ETFs,XLB,USD,100
XLRE,2,The Real Estate Select Sector SPDR® Fund (XLRE),1,1,US Stocks & ETFs,XLRE,USD,100
XLK,2,The Technology Select Sector SPDR® Fund (XLK),1,1,US Stocks & ETFs,XLK,USD,100
GBXUSD,6,Great Britain Pence vs US Dollar,100000,0,Rates,GBX,USD,5
BLND.UK,0,British Land Co PLC,1,1,UK Stocks,BLND.UK,GBX,5
BHP.AU,2,BHP Group Ltd (BHP),1,1,AU Stocks,BHP.AU,AUD,5
TPL,2,Texas Pacific Land Corp. (TPL),1,1,US Stocks & ETFs,TPL,USD,100
GBXGBP,6,Great Britain Pence vs Great Britain Pound,100000,0,Rates,GBX,GBP,5
GBXEUR,6,Great Britain Pence vs Euro,100000,0,Rates,GBX,EUR,5
GBXAUD,6,Great Britain Pence vs Australian Dollar,100000,0,Rates,GBX,AUD,5
XRPUSD,5,Ripple vs US Dollar (XRPUSD),1,1,CFD Crypto,XRP,USD,1000
IBIT,2,iShares Bitcoin Trust ETF (IBIT),1,1,US Stocks & ETFs,IBIT,USD,100
USDCNY,4,US Dollar vs Chinese Yuan,100000,0,Rates,USD,CNY,5
FIG,2,Figma Inc. (FIG),1,1,US Stocks & ETFs,FIG,USD,100
BITO,2,ProShares Bitcoin ETF (BITO),1,1,US Stocks & ETFs,BITO,USD,100
